date,operator,flight_phase,flight_type,country,region,total_on_board,crew_on_board,crew_fatalities,passengers_on_board,passenger_fatalities,total_fatalities,total_survivors,crash_cause
1989-09-19 00:00:00,Union des Transports Aériens - UTA,Flight,Commercial,Niger,Africa,170,14,14,156,156,170,0,Terrorism
2006-08-22 00:00:00,Pulkovo Aviation Enterprise,Flight,Commercial,Ukraine,Europe,170,10,10,160,160,170,0,Weather
2000-01-30 00:00:00,Kenya Airways,Takeoff (climb),Commercial,Ivory Coast,Africa,179,10,10,169,159,169,10,Human Factor
2009-07-15 00:00:00,Caspian Airlines,Flight,Commercial,Iran,Asia,168,12,12,156,156,168,0,Technical Failure
1986-03-31 00:00:00,Mexicana de Aviación,Flight,Commercial,Mexico,Central America,167,8,8,159,159,167,0,Technical Failure
1992-09-28 00:00:00,Pakistan International Airlines - PIA,Landing (descent or approach),Commercial,Nepal,Asia,167,19,19,148,148,167,0,Human Factor
1980-07-08 00:00:00,Aeroflot - Russian International Airlines,Takeoff (climb),Commercial,Kazakhstan,Asia,166,10,10,156,156,166,0,Weather
1971-07-30 00:00:00,All Nippon Airways,Flight,Commercial,Japan,Asia,162,7,7,155,155,162,0,Human Factor
2014-12-28 00:00:00,Air Asia Indonesia,Flight,Commercial,Indonesia,Asia,162,6,6,156,156,162,0,Technical Failure
1994-06-06 00:00:00,China Northwest Airlines,Takeoff (climb),Commercial,China,Asia,160,14,14,146,146,160,0,Human Factor
2005-08-16 00:00:00,West Caribbean Airways,Flight,Commercial,Venezuela,South America,160,8,8,152,152,160,0,Human Factor
1987-11-28 00:00:00,South African Airways -SAA - Suid Afrikaanse Lugdiens - SAL,Flight,Commercial,World,World,159,19,19,140,140,159,0,Technical Failure
1992-09-26 00:00:00,Nigerian Air Force,Takeoff (climb),Military / Government,Nigeria,Africa,159,8,8,151,151,159,0,Technical Failure
1995-12-20 00:00:00,American Airlines,Flight,Commercial,Colombia,South America,163,8,8,155,151,159,4,Human Factor
2010-05-22 00:00:00,Air India Express,Landing (descent or approach),Commercial,India,Asia,166,6,6,160,152,158,8,Human Factor
1992-12-22 00:00:00,Libyan Arab Airlines,Landing (descent or approach),Commercial,Libya,Africa,157,10,10,147,147,157,0,Human Factor
2019-03-10 00:00:00,Ethiopian Airlines,Takeoff (climb),Commercial,Ethiopia,Africa,157,8,8,149,149,157,0,Technical Failure
1972-08-14 00:00:00,Interflug,Flight,Commercial,Germany,Europe,156,8,8,148,148,156,0,Technical Failure
1979-11-26 00:00:00,Pakistan International Airlines - PIA,Flight,Commercial,Saudi Arabia,Asia,156,11,11,145,145,156,0,Other
1968-05-12 00:00:00,United States Air Force - USAF,Takeoff (climb),Military / Government,Vietnam,Asia,155,5,5,150,150,155,0,Terrorism
1972-12-03 00:00:00,Spantax,Takeoff (climb),Commercial,Spain,Europe,155,7,7,148,148,155,0,Human Factor
1975-04-04 00:00:00,United States Air Force - USAF,Landing (descent or approach),Humanitarian,Vietnam,Asia,330,16,5,314,150,155,175,Technical Failure
1976-09-19 00:00:00,Turkish Airlines - THY Türk Hava Yollari,Landing (descent or approach),Commercial,Turkey,Asia,154,8,8,146,146,154,0,Human Factor
1987-08-16 00:00:00,Northwest Airlines,Takeoff (climb),Commercial,United States of America,North America,155,6,6,149,148,154,1,Human Factor
2006-09-29 00:00:00,GOL Transportes Aéreos,Flight,Commercial,Brazil,South America,154,6,6,148,148,154,0,Human Factor
2008-08-20 00:00:00,Spanair,Takeoff (climb),Commercial,Spain,Europe,172,6,6,166,148,154,18,Human Factor
2012-06-03 00:00:00,Dana Air,Landing (descent or approach),Commercial,Nigeria,Africa,153,6,6,147,147,153,0,Technical Failure
2009-06-30 00:00:00,Yemenia Yemen Airways,Landing (descent or approach),Commercial,Comoros Islands,Africa,153,11,11,142,141,152,1,Human Factor
2010-07-28 00:00:00,Airblue,Landing (descent or approach),Commercial,Pakistan,Asia,152,6,6,146,146,152,0,Human Factor
2015-03-24 00:00:00,Germanwings,Flight,Commercial,France,Europe,150,6,6,144,144,150,0,Human Factor
